Demokrati,0,purple,
Resnica,0,brown,
Svoboda,0,blue,
Glas upokojencev,0,,
Stranka Zaupanje,0,,
Alternativa za Slovenijo,0,,
Levica in Vesna,0,green,
Mi socialisti,0,pink,
NSi SLS Fokus,0,orange,
Pirati,0,black,
Prerod,0,grey,
Rešitev,0,,
Sloga,0,,
SDS,0,yellow,
SNS,0,cyan,
SD,0,red,
Zeleni,0,tan,
Manjšina,2,white,
,,,
